名称,id,今收,增幅,增比,今开,成交量,最高,涨停,内盘,成交额,委比,流通市值,市盈率,每股收益,总股本,昨收,换手率,最低,跌停,外盘,振幅,量比,总市值,市净率,每股净资产,流通股本
仙坛股份(002746),sz002746,21.72,+0.22,+1.02%,22.00,1.81万手,22.30,23.65,9854手,3952.91万,39.46%,31.02亿,45.39,0.36,1.82亿,21.50,1.27%,21.62,"
                        19.35",8252手,3.16%,0.78,39.50亿,1.90,11.45,1.43亿
埃斯顿(002747),sz002747,12.01,+0.51,+4.43%,11.73,16.15万手,12.10,12.65,6.61万手,1.92亿,-9.21%,98.75亿,128.21,0.07,8.38亿,11.50,1.96%,11.50,"
                        10.35",9.54万手,5.22%,7.74,100.70亿,6.90,1.74,8.22亿
世龙实业(002748),sz002748,,,,,,,,,,,,,,,,,,,,,,,,,
国光股份(002749),sz002749,68.28,+0.68,+1.01%,67.50,7741手,69.18,74.36,3859手,5296.81万,26.05%,33.08亿,27.64,2.47,7500.00万,67.60,1.60%,67.40,"
                        60.84",3882手,2.63%,0.66,51.21亿,5.98,11.42,4845.23万
龙津药业(002750),sz002750,8.49,+0.11,+1.31%,8.38,1.97万手,8.61,9.22,9839手,1672.25万,-31.76%,33.73亿,83.04,0.08,4.01亿,8.38,0.49%,8.38,"
                        7.54",9820手,2.74%,1.23,34.00亿,5.30,1.60,3.97亿
易尚展示(002751),sz002751,37.20,+0.86,+2.37%,36.69,2.27万手,37.35,39.97,7769手,8387.69万,-22.81%,28.49亿,140.53,0.21,1.55亿,36.34,2.96%,36.36,"
                        32.71",1.49万手,2.72%,0.46,57.51亿,10.26,3.63,7658.00万
?N兴股份(002752),sz002752,8.06,+0.09,+1.13%,7.98,1.79万手,8.07,8.77,7805手,1435.27万,-69.05%,13.17亿,71.68,0.08,8.33亿,7.97,1.10%,7.91,"
                        7.17",1.01万手,2.01%,0.45,67.15亿,3.79,2.13,1.63亿
永东股份(002753),sz002753,18.98,+0.51,+2.76%,18.53,1.74万手,18.98,20.32,7494手,3256.99万,30.69%,16.31亿,22.55,0.63,2.22亿,18.47,2.03%,18.41,"
                        16.62",9932手,3.09%,0.19,42.15亿,3.73,5.09,8595.16万
东方新星(002755),sz002755,25.25,+0.34,+1.36%,24.49,2476手,25.30,27.40,879手,623.37万,-30.86%,8.87亿,268.69,0.07,1.01亿,24.91,0.70%,24.49,"
                        22.42",1596手,3.25%,0.02,25.59亿,4.96,5.09,3514.00万
永兴特钢(002756),sz002756,21.95,-0.17,-0.77%,22.16,1.06万手,22.22,24.33,6435手,2328.48万,1.59%,30.71亿,22.76,0.72,3.60亿,22.12,0.76%,21.87,"
                        19.91",4152手,1.58%,0.37,79.02亿,2.41,9.11,1.40亿
南兴装备(002757),sz002757,35.10,+0.75,+2.18%,35.12,8419手,35.25,37.79,2836手,2951.25万,-6.76%,13.46亿,38.79,0.69,1.11亿,34.35,2.19%,34.50,"
                        30.91",5582手,2.18%,0.61,38.97亿,4.58,7.67,3835.65万
华通医药(002758),sz002758,10.86,+0.99,+10.03%,10.00,8.81万手,10.86,10.86,4.51万手,9172.97万,100.00%,13.48亿,49.68,0.16,2.10亿,9.87,7.10%,9.91,"
                        8.88",4.31万手,9.63%,1.83,22.81亿,3.98,2.73,1.24亿
天际股份(002759),sz002759,12.20,+0.06,+0.49%,12.17,4.58万手,12.26,13.35,1.92万手,5577.29万,-29.74%,12.21亿,26.35,0.35,4.52亿,12.14,4.58%,12.08,"
                        10.93",2.67万手,1.48%,0.32,55.17亿,1.58,7.70,1.00亿
凤形股份(002760),sz002760,22.93,--,0.00%,22.87,2.65万手,23.28,25.22,1.39万手,6055.58万,-49.26%,10.48亿,--,-0.17,8800.00万,22.93,5.80%,22.61,"
                        20.64",1.26万手,2.92%,0.44,20.18亿,3.65,6.28,4572.59万
多喜爱(002761),sz002761,36.79,-0.08,-0.22%,36.95,3210手,37.60,40.56,1687手,1187.53万,15.24%,20.61亿,190.81,0.19,1.20亿,36.87,0.57%,36.67,"
                        33.18",1523手,2.52%,0.24,44.15亿,6.60,5.58,5603.21万
金发拉比(002762),sz002762,15.49,+0.63,+4.24%,14.99,3.35万手,16.35,16.35,1.87万手,5226.42万,18.30%,10.77亿,42.99,0.27,2.04亿,14.86,4.82%,14.92,"
                        13.37",1.48万手,9.62%,1.03,31.57亿,3.40,4.55,6955.29万
汇洁股份(002763),sz002763,12.71,+0.61,+5.04%,12.14,2.10万手,12.90,13.31,7853手,2612.10万,-24.75%,14.80亿,16.32,0.58,3.89亿,12.10,1.81%,12.13,"
                        10.89",1.32万手,6.36%,1.71,49.42亿,2.80,4.54,1.16亿
蓝黛传动(002765),sz002765,9.08,--,0.00%,--,--,--,9.99,--,--,--,14.78亿,38.92,0.17,4.29亿,9.08,--,--,"
                        8.17",--,--,--,38.94亿,3.40,2.67,1.63亿
索菱股份(002766),sz002766,,,,,,,,,,,,,,,,,,,,,,,,,
先锋电子(002767),sz002767,,,,,,,,,,,,,,,,,,,,,,,,,
国恩股份(002768),sz002768,25.93,+0.21,+0.82%,25.63,1.25万手,26.00,28.29,5356手,3218.00万,27.02%,22.56亿,34.64,0.85,2.71亿,25.72,1.43%,25.61,"
                        23.15",7106手,1.52%,0.29,70.34亿,6.17,4.20,8700.00万
普路通(002769),sz002769,18.00,+0.50,+2.86%,17.70,13.65万手,18.28,19.25,6.35万手,2.45亿,-37.75%,34.28亿,33.93,0.40,3.77亿,17.50,7.17%,17.60,"
                        15.75",7.31万手,3.89%,2.27,67.77亿,5.09,3.54,1.90亿
科迪乳业(002770),sz002770,,,,,,,,,,,,,,,,,,,,,,,,,
真视通(002771),sz002771,18.65,+0.47,+2.59%,18.14,5.35万手,18.88,20.00,2.54万手,9896.03万,24.77%,13.30亿,54.83,0.26,1.62亿,18.18,7.50%,17.97,"
                        16.36",2.81万手,5.01%,5.16,30.14亿,4.89,3.81,7130.60万
众兴菌业(002772),sz002772,10.55,-0.16,-1.49%,10.75,5.90万手,10.82,11.78,3.91万手,6270.52万,30.64%,23.32亿,27.68,0.38,3.73亿,10.71,2.67%,10.54,"
                        9.64",1.99万手,2.61%,1.58,39.39亿,1.62,6.50,2.21亿
康弘药业(002773),sz002773,59.84,+5.44,+10.00%,54.40,3.83万手,59.84,59.84,1.79万手,2.25亿,23.08%,42.17亿,72.80,0.62,6.74亿,54.40,5.43%,54.40,"
                        48.96",2.04万手,10.00%,3.39,403.45亿,12.17,4.92,7047.09万
快意电梯(002774),sz002774,9.04,+0.17,+1.92%,8.93,2.32万手,9.08,9.76,9877手,2093.45万,-8.15%,7.66亿,48.84,0.14,3.35亿,8.87,2.74%,8.90,"
                        7.98",1.34万手,2.03%,--,30.27亿,3.12,2.90,8477.01万
文科园林(002775),sz002775,17.00,--,0.00%,--,--,--,18.70,--,--,--,20.73亿,18.23,0.70,2.47亿,17.00,--,--,"
                        15.30",--,--,--,42.07亿,2.95,5.76,1.22亿
柏堡龙(002776),sz002776,,,,,,,,,,,,,,,,,,,,,,,,,
久远银海(002777),sz002777,38.65,-0.55,-1.40%,39.20,1.16万手,39.34,43.12,6055手,4483.48万,-11.78%,23.21亿,108.34,0.29,1.73亿,39.20,1.93%,38.01,"
                        35.28",5531手,3.39%,1.82,66.69亿,13.35,2.90,6004.00万
高科石化(002778),sz002778,,,,,,,,,,,,,,,,,,,,,,,,,
中坚科技(002779),sz002779,18.40,+0.12,+0.66%,18.29,4667手,18.47,20.11,2103手,855.92万,40.36%,7.44亿,61.20,0.23,1.32亿,18.28,1.15%,18.12,"
                        16.45",2564手,1.91%,0.17,24.29亿,3.81,4.83,4042.50万
三夫户外(002780),sz002780,,,,,,,,,,,,,,,,,,,,,,,,,
奇信股份(002781),sz002781,20.41,+0.52,+2.61%,20.20,1.24万手,20.48,21.88,5335手,2514.93万,-33.04%,18.87亿,26.40,0.58,2.25亿,19.89,1.34%,19.80,"
                        17.90",7037手,3.42%,0.66,45.92亿,2.60,7.84,9244.30万
可立克(002782),sz002782,14.89,+0.48,+3.33%,14.55,10.85万手,15.13,15.85,5.16万手,1.60亿,39.46%,15.86亿,110.47,0.13,4.26亿,14.41,10.18%,14.25,"
                        12.97",5.69万手,6.11%,0.34,63.43亿,7.62,1.95,1.06亿
凯龙股份(002783),sz002783,17.47,+0.36,+2.10%,17.02,1.56万手,17.58,18.82,7718手,2715.77万,-16.61%,18.69亿,31.70,0.55,2.09亿,17.11,1.46%,17.02,"
                        15.40",7850手,3.27%,1.16,36.46亿,2.62,6.68,1.07亿
万里石(002785),sz002785,11.52,+0.13,+1.14%,11.47,2.58万手,11.67,12.53,1.20万手,2960.98万,-7.02%,11.16亿,110.05,0.08,2.00亿,11.39,2.66%,11.32,"
                        10.25",1.38万手,3.07%,0.59,23.04亿,3.47,3.32,9688.56万
银宝山新(002786),sz002786,9.04,-0.06,-0.66%,9.02,5.80万手,9.11,10.01,3.05万手,5216.62万,13.15%,12.50亿,53.58,0.13,3.81亿,9.10,4.19%,8.89,"
                        8.19",2.74万手,2.42%,0.27,34.46亿,3.17,2.85,1.38亿
华源控股(002787),sz002787,10.35,+0.40,+4.02%,9.90,4.35万手,10.47,10.95,1.77万手,4470.84万,-22.67%,10.71亿,29.15,0.27,2.88亿,9.95,4.21%,9.90,"
                        8.96",2.58万手,5.73%,1.23,29.82亿,3.09,3.35,1.04亿
鹭燕医药(002788),sz002788,29.79,+0.04,+0.13%,29.70,2.57万手,30.28,32.73,1.47万手,7678.96万,-19.15%,20.69亿,29.97,0.75,1.28亿,29.75,3.70%,29.70,"
                        26.77",1.10万手,1.95%,1.01,38.18亿,2.65,11.23,6944.38万
建艺集团(002789),sz002789,37.00,+0.82,+2.27%,36.42,1.09万手,37.50,39.80,4480手,4018.72万,-50.21%,14.01亿,31.39,0.88,8120.00万,36.18,2.87%,36.42,"
                        32.56",6395手,2.99%,0.51,30.04亿,2.62,14.12,3787.48万
瑞尔特(002790),sz002790,,,,,,,,,,,,,,,,,,,,,,,,,
坚朗五金(002791),sz002791,17.41,+0.43,+2.53%,17.08,9189手,17.43,18.68,3639手,1588.82万,-44.59%,14.00亿,22.59,0.58,3.22亿,16.98,1.14%,16.94,"
                        15.28",5549手,2.89%,0.27,55.98亿,2.14,8.12,8038.50万
通宇通讯(002792),sz002792,26.88,-0.32,-1.18%,26.05,3.28万手,26.98,29.92,1.60万手,8719.40万,-11.40%,19.01亿,37.02,0.54,2.26亿,27.20,4.65%,26.04,"
                        24.48",1.68万手,3.46%,0.98,60.68亿,3.15,8.53,7071.43万
东音股份(002793),sz002793,15.39,+0.24,+1.58%,15.16,2.87万手,15.62,16.66,1.16万手,4427.55万,5.80%,9.93亿,26.57,0.58,2.00亿,15.15,4.46%,15.06,"
                        13.63",1.71万手,3.70%,0.43,30.78亿,4.08,3.77,6449.01万
永和智控(002795),sz002795,14.27,+0.55,+4.01%,13.72,4.83万手,14.85,15.09,2.26万手,6923.53万,-27.97%,9.10亿,48.82,0.22,2.00亿,13.72,7.58%,13.52,"
                        12.35",2.57万手,9.69%,1.12,28.54亿,4.74,3.01,6375.00万
世嘉科技(002796),sz002796,25.53,+0.57,+2.28%,25.00,8681手,25.95,27.46,3939手,2216.12万,-29.96%,7.64亿,101.86,0.31,1.03亿,24.96,2.90%,24.96,"
                        22.46",4742手,3.97%,0.24,26.17亿,4.26,5.99,2991.50万
第一创业(002797),sz002797,8.09,+0.01,+0.12%,8.08,49.52万手,8.16,8.89,25.11万手,4.00亿,15.30%,155.20亿,71.10,0.09,35.02亿,8.08,2.58%,8.04,"
                        7.27",24.40万手,1.49%,1.73,283.34亿,3.22,2.52,19.18亿
帝王洁具(002798),sz002798,52.03,+1.23,+2.42%,51.30,7176手,52.19,55.88,3634手,3708.93万,64.60%,16.80亿,164.07,0.37,1.33亿,50.80,2.22%,51.10,"
                        45.72",3542手,2.15%,0.25,69.39亿,6.68,7.79,3228.37万
环球印务(002799),sz002799,13.33,--,0.00%,--,--,--,14.66,--,--,--,10.25亿,97.02,0.10,1.50亿,13.33,--,--,"
                        12.00",--,--,--,20.00亿,3.91,3.41,7687.50万
天顺股份(002800),sz002800,27.43,+0.48,+1.78%,26.75,9309手,27.72,29.65,4544手,2539.00万,-4.92%,9.56亿,42.46,0.48,7468.00万,26.95,2.67%,26.70,"
                        24.26",4765手,3.78%,0.60,20.48亿,4.65,5.90,3484.00万
微光股份(002801),sz002801,31.68,+1.08,+3.53%,30.75,7759手,31.93,33.66,3152手,2441.89万,-66.56%,9.33亿,34.85,0.91,1.18亿,30.60,2.64%,30.75,"
                        27.54",4607手,3.86%,0.47,37.49亿,4.47,7.09,2944.00万
洪汇新材(002802),sz002802,25.64,+0.50,+1.99%,25.37,1.17万手,25.88,27.65,5978手,2970.88万,-23.51%,9.50亿,38.24,0.50,1.08亿,25.14,3.14%,25.15,"
                        22.63",5678手,2.90%,0.21,27.78亿,4.69,5.47,3706.97万
吉宏股份(002803),sz002803,42.17,-0.81,-1.88%,42.60,6620手,43.00,47.28,4391手,2792.87万,-21.62%,19.40亿,95.57,0.33,1.16亿,42.98,1.44%,41.90,"
                        38.68",2228手,2.56%,0.16,48.92亿,10.61,3.98,4600.00万
丰元股份(002805),sz002805,23.61,+0.29,+1.24%,23.28,1.57万手,23.85,25.65,7727手,3713.08万,65.35%,12.67亿,60.86,0.29,9691.38万,23.32,2.93%,23.28,"
                        20.99",7995手,2.44%,0.58,22.88亿,4.08,5.78,5365.42万
华锋股份(002806),sz002806,18.54,+0.06,+0.32%,19.04,2.36万手,19.07,20.33,1.37万手,4417.77万,-2.09%,10.41亿,105.70,0.13,1.37亿,18.48,4.21%,18.50,"
                        16.63",9933手,3.08%,0.78,25.42亿,6.96,2.66,5616.49万
江阴银行(002807),sz002807,7.19,-0.02,-0.28%,7.22,7.75万手,7.25,7.93,4.09万手,5584.08万,33.69%,51.65亿,15.72,0.46,17.67亿,7.21,1.08%,7.16,"
                        6.49",3.66万手,1.25%,0.33,127.07亿,1.39,5.18,7.18亿
苏州恒久(002808),sz002808,12.30,+0.01,+0.08%,12.17,1.36万手,12.36,13.52,7652手,1667.86万,13.51%,10.81亿,89.72,0.10,1.92亿,12.29,1.55%,12.17,"
                        11.06",5955手,1.55%,0.26,23.62亿,4.45,2.76,8784.57万
红墙股份(002809),sz002809,28.21,+0.81,+2.96%,27.86,3.09万手,28.77,30.14,1.47万手,8715.11万,-16.20%,16.97亿,46.97,0.45,1.25亿,27.40,5.13%,27.53,"
                        24.66",1.62万手,4.53%,0.54,35.27亿,3.82,7.38,6015.67万
山东赫达(002810),sz002810,23.52,-0.21,-0.88%,23.57,9534手,23.88,26.10,5188手,2242.33万,49.57%,12.03亿,44.56,0.40,9556.00万,23.73,1.86%,23.28,"
                        21.36",4346手,2.53%,0.16,22.48亿,3.38,6.95,5116.01万
亚泰国际(002811),sz002811,17.22,+0.42,+2.50%,17.00,1.45万手,17.40,18.48,6215手,2489.21万,71.68%,7.75亿,38.47,0.34,1.80亿,16.80,3.22%,16.81,"
                        15.12",8264手,3.51%,0.15,31.00亿,2.46,7.01,4500.00万
创新股份(002812),sz002812,,,,,,,,,,,,,,,,,,,,,,,,,
路畅科技(002813),sz002813,28.95,+0.95,+3.39%,28.07,3.09万手,29.20,30.80,1.43万手,8872.06万,-47.80%,8.69亿,213.13,0.10,1.20亿,28.00,10.29%,28.03,"
                        25.20",1.66万手,4.18%,187.29,34.74亿,5.38,5.38,3000.00万
崇达技术(002815),sz002815,33.71,+1.60,+4.98%,33.10,6.37万手,33.98,35.32,2.81万手,2.12亿,-15.42%,35.78亿,31.89,0.79,4.10亿,32.11,6.00%,32.36,"
                        28.90",3.56万手,5.05%,0.99,138.21亿,6.15,5.48,1.06亿
和科达(002816),sz002816,20.19,+1.27,+6.71%,19.42,8.34万手,20.81,20.81,4.01万手,1.66亿,-13.78%,11.57亿,149.48,0.10,10000.00万,18.92,14.55%,19.25,"
                        17.03",4.33万手,8.25%,--,20.19亿,3.90,5.17,5729.96万
黄山胶囊(002817),sz002817,27.00,+0.39,+1.47%,26.66,8461手,27.18,29.27,3841手,2279.65万,32.00%,11.22亿,46.37,0.44,8667.00万,26.61,2.04%,26.66,"
                        23.95",4620手,1.95%,--,23.40亿,3.56,7.59,4154.00万
富森美(002818),sz002818,27.31,+0.60,+2.25%,26.83,1.89万手,27.50,29.38,7804手,5149.65万,-71.73%,24.99亿,18.45,1.48,4.40亿,26.71,2.06%,26.83,"
                        24.04",1.11万手,2.51%,--,120.16亿,2.83,9.64,9152.00万
东方中科(002819),sz002819,27.16,-0.07,-0.26%,27.51,7149手,27.72,29.95,4392手,1945.57万,-30.80%,12.01亿,177.01,0.12,1.13亿,27.23,1.62%,26.97,"
                        24.51",2756手,2.75%,--,30.78亿,7.25,3.75,4421.16万
桂发祥(002820),sz002820,23.78,+0.45,+1.93%,23.20,8256手,24.00,25.66,3583手,1959.52万,51.58%,18.37亿,32.87,0.72,1.28亿,23.33,1.07%,23.20,"
                        21.00",4673手,3.43%,--,30.44亿,2.93,8.11,7725.01万
凯莱英(002821),sz002821,76.50,+3.30,+4.51%,74.50,3.83万手,77.50,80.52,1.87万手,2.91亿,46.05%,91.26亿,65.76,0.87,2.30亿,73.20,3.21%,72.50,"
                        65.88",1.97万手,6.83%,--,176.03亿,9.18,8.33,1.19亿
中装建设(002822),sz002822,8.05,-0.01,-0.12%,8.13,10.76万手,8.18,8.87,5.96万手,8684.08万,47.61%,24.64亿,31.59,0.19,6.00亿,8.06,3.51%,8.00,"
                        7.25",4.79万手,2.23%,--,48.30亿,2.43,3.32,3.06亿
凯中精密(002823),sz002823,14.17,+0.22,+1.58%,14.06,1.67万手,14.22,15.35,7497手,2363.86万,-29.15%,13.98亿,26.93,0.39,2.90亿,13.95,1.69%,14.03,"
                        12.55",9214手,1.36%,--,41.14亿,3.61,3.93,9865.07万
和胜股份(002824),sz002824,16.80,-0.41,-2.38%,16.70,4.66万手,17.07,18.93,2.70万手,7851.58万,56.60%,16.29亿,47.17,0.27,1.80亿,17.21,4.80%,16.66,"
                        15.49",1.96万手,2.38%,--,30.24亿,4.20,4.00,9699.25万
纳尔股份(002825),sz002825,23.99,+0.34,+1.44%,23.69,1.13万手,24.26,26.02,5831手,2712.66万,38.98%,7.01亿,71.28,0.25,1.00亿,23.65,3.86%,23.69,"
                        21.29",5446手,2.41%,--,24.06亿,4.23,5.67,2923.10万
易明医药(002826),sz002826,18.78,+0.66,+3.64%,18.28,8.25万手,19.39,19.93,3.69万手,1.53亿,8.19%,18.93亿,79.72,0.18,1.90亿,18.12,8.19%,18.06,"
                        16.31",4.56万手,7.34%,--,35.63亿,6.17,3.04,1.01亿
高争民爆(002827),sz002827,17.55,+0.30,+1.74%,17.44,1.66万手,17.73,18.98,7835手,2896.96万,36.49%,11.08亿,27.00,0.49,1.84亿,17.25,2.62%,17.20,"
                        15.53",8733手,3.07%,--,32.29亿,4.09,4.30,6314.65万
贝肯能源(002828),sz002828,23.25,-0.34,-1.44%,23.64,1.96万手,23.67,25.95,1.17万手,4556.33万,13.82%,13.30亿,43.13,0.40,1.20亿,23.59,3.42%,23.06,"
                        21.23",7910手,2.59%,--,27.85亿,3.04,7.64,5718.50万
星网宇达(002829),sz002829,29.16,+0.61,+2.14%,28.29,3.98万手,29.49,31.41,2.07万手,1.16亿,-38.90%,17.21亿,93.15,0.24,1.62亿,28.55,6.75%,28.29,"
                        25.69",1.91万手,4.20%,--,47.14亿,6.24,4.67,5900.95万
名雕股份(002830),sz002830,20.61,+0.76,+3.83%,19.77,4.48万手,20.76,21.84,2.14万手,9079.20万,-14.55%,8.21亿,105.54,0.15,1.33亿,19.85,11.25%,19.77,"
                        17.86",2.34万手,4.99%,--,27.48亿,4.80,4.29,3984.00万
裕同科技(002831),sz002831,53.40,+0.88,+1.68%,52.56,8696手,53.58,57.77,2870手,4625.17万,52.57%,63.81亿,26.22,1.53,4.00亿,52.52,0.73%,52.53,"
                        47.27",5826手,2.00%,--,213.61亿,4.55,11.72,1.19亿
比音勒芬(002832),sz002832,56.07,-0.93,-1.63%,56.88,4227手,57.70,62.70,1580手,2404.91万,-73.95%,26.06亿,32.67,1.29,1.07亿,57.00,0.91%,55.98,"
                        51.30",2647手,3.02%,--,59.81亿,4.27,13.12,4647.00万
弘亚数控(002833),sz002833,,,,,,,,,,,,,,,,,,,,,,,,,
同为股份(002835),sz002835,10.23,+0.27,+2.71%,9.91,2.93万手,10.45,10.96,1.38万手,2985.36万,23.40%,8.61亿,67.97,0.11,2.16亿,9.96,3.48%,9.91,"
                        8.96",1.55万手,5.42%,--,22.10亿,3.38,3.03,8412.91万
新宏泽(002836),sz002836,17.88,+0.25,+1.42%,17.75,2.60万手,18.18,19.39,1.39万手,4632.18万,-41.15%,10.08亿,74.77,0.18,1.60亿,17.63,4.61%,17.55,"
                        15.87",1.21万手,3.57%,--,28.61亿,7.01,2.55,5636.80万
英维克(002837),sz002837,22.30,+0.12,+0.54%,21.73,6.54万手,22.49,24.40,3.22万手,1.45亿,-0.97%,15.02亿,52.77,0.42,2.03亿,22.18,9.70%,21.63,"
                        19.96",3.31万手,3.88%,--,45.18亿,6.99,3.19,6736.20万
道恩股份(002838),sz002838,46.78,-0.32,-0.68%,47.14,3428手,47.28,51.81,2097手,1609.15万,56.10%,17.61亿,62.84,0.74,1.26亿,47.10,0.91%,46.74,"
                        42.39",1331手,1.15%,--,58.94亿,6.99,6.69,3765.37万
张家港行(002839),sz002839,8.42,-0.08,-0.94%,8.40,36.45万手,8.59,9.35,20.01万手,3.08亿,56.39%,70.37亿,19.94,0.42,18.08亿,8.50,4.36%,8.40,"
                        7.65",16.44万手,2.24%,--,152.19亿,1.84,4.58,8.36亿
华统股份(002840),sz002840,41.79,+2.39,+6.07%,39.40,1.69万手,41.96,43.34,4410手,6819.70万,-88.46%,40.88亿,64.58,0.49,1.79亿,39.40,1.73%,39.40,"
                        35.46",1.25万手,6.50%,--,74.66亿,6.56,6.37,9782.41万
视源股份(002841),sz002841,84.70,+2.54,+3.09%,82.16,6624手,85.80,90.38,2144手,5631.78万,-89.10%,34.30亿,43.34,1.47,4.07亿,82.16,1.64%,82.16,"
                        73.94",4480手,4.43%,--,344.55亿,14.38,5.89,4050.00万
翔鹭钨业(002842),sz002842,41.62,+0.37,+0.90%,41.10,1.01万手,41.96,45.38,4844手,4180.88万,74.53%,17.58亿,59.23,0.53,10000.00万,41.25,2.38%,41.10,"
                        37.13",5209手,2.08%,--,41.62亿,5.50,7.56,4225.00万
泰嘉股份(002843),sz002843,18.72,+0.06,+0.32%,18.71,2.80万手,18.91,20.53,1.42万手,5220.82万,-14.73%,15.72亿,49.19,0.29,1.42亿,18.66,3.34%,18.38,"
                        16.79",1.38万手,2.84%,--,26.53亿,4.38,4.27,8400.00万
同兴达(002845),sz002845,23.18,+2.11,+10.01%,21.07,4.69万手,23.18,23.18,2.16万手,1.05亿,100.00%,14.46亿,31.28,0.74,2.01亿,21.07,7.52%,21.07,"
                        18.96",2.53万手,10.01%,--,46.67亿,4.68,4.95,6240.00万
英联股份(002846),sz002846,15.86,-0.42,-2.58%,15.87,6.81万手,16.14,17.91,3.79万手,1.09亿,-7.43%,9.14亿,64.83,0.30,1.95亿,16.28,11.83%,15.80,"
                        14.65",3.02万手,2.09%,--,30.87亿,3.69,4.30,5760.00万
盐津铺子(002847),sz002847,27.08,-0.49,-1.78%,27.60,2.73万手,27.78,30.33,1.60万手,7425.65万,46.75%,9.56亿,46.92,0.43,1.24亿,27.57,7.72%,27.00,"
                        24.81",1.13万手,2.83%,--,33.58亿,5.76,4.70,3530.06万
高斯贝尔(002848),sz002848,14.33,+0.24,+1.70%,14.11,4.34万手,14.69,15.50,1.93万手,6186.44万,56.12%,11.95亿,841.87,0.01,1.67亿,14.09,5.20%,13.91,"
                        12.68",2.41万手,5.54%,--,23.95亿,3.93,3.65,8336.23万
威星智能(002849),sz002849,26.10,+0.73,+2.88%,25.20,2.19万手,26.28,27.91,8720手,5635.74万,-31.64%,9.90亿,49.64,0.39,8666.67万,25.37,5.76%,25.11,"
                        22.83",1.31万手,4.61%,--,22.62亿,4.26,6.13,3792.46万
科达利(002850),sz002850,53.22,+0.98,+1.88%,52.41,1.08万手,53.75,57.46,5243手,5732.49万,48.31%,32.96亿,33.29,1.20,1.40亿,52.24,1.74%,52.40,"
                        47.02",5549手,2.58%,--,74.51亿,3.30,16.12,6193.21万
麦格米特(002851),sz002851,36.50,--,0.00%,--,--,--,40.15,--,--,--,30.14亿,58.68,0.47,1.81亿,36.50,--,--,"
                        32.85",--,--,--,65.94亿,5.22,7.00,8257.27万
道道全(002852),sz002852,30.69,+0.24,+0.79%,30.30,1.59万手,30.95,33.50,7830手,4864.33万,48.56%,22.64亿,25.77,1.52,1.70亿,30.45,2.15%,30.30,"
                        27.41",8062手,2.13%,--,52.17亿,1.60,19.22,7376.57万
皮阿诺(002853),sz002853,28.40,+0.54,+1.94%,27.65,2.49万手,28.53,30.65,1.25万手,6958.26万,-56.08%,15.12亿,47.36,0.45,1.55亿,27.86,4.67%,27.49,"
                        25.07",1.24万手,3.73%,--,44.12亿,4.89,5.81,5324.86万
捷荣技术(002855),sz002855,,,,,,,,,,,,,,,,,,,,,,,,,
美芝股份(002856),sz002856,28.61,+0.78,+2.80%,27.85,2.66万手,28.72,30.61,1.39万手,7535.13万,-1.05%,7.25亿,60.63,0.35,1.01亿,27.83,10.48%,27.85,"
                        25.05",1.26万手,3.13%,--,28.99亿,4.48,6.39,2534.00万
三晖电气(002857),sz002857,20.01,--,0.00%,--,--,--,22.01,--,--,--,5.53亿,75.27,0.20,8000.00万,20.01,--,--,"
                        18.01",--,--,--,16.01亿,3.92,5.10,2762.23万
力盛赛车(002858),sz002858,40.03,+1.52,+3.95%,38.99,2.58万手,41.26,42.36,1.21万手,1.04亿,-23.56%,12.34亿,500.51,0.06,6316.00万,38.51,8.38%,38.70,"
                        34.66",1.37万手,6.65%,--,25.28亿,6.95,5.76,3082.75万
洁美科技(002859),sz002859,33.14,+1.04,+3.24%,32.10,3.36万手,33.38,35.31,1.30万手,1.11亿,39.30%,19.29亿,43.19,0.77,2.56亿,32.10,5.77%,32.10,"
                        28.89",2.06万手,3.99%,--,84.74亿,6.29,5.27,5820.00万
星帅尔(002860),sz002860,41.70,-1.33,-3.09%,41.10,3.95万手,42.30,47.33,2.25万手,1.64亿,38.97%,6.34亿,35.83,0.87,7597.87万,43.03,26.00%,40.70,"
                        38.73",1.71万手,3.72%,--,31.68亿,5.17,8.06,1520.00万
瀛通通讯(002861),sz002861,26.96,+0.04,+0.15%,25.39,3.81万手,26.98,29.61,1.83万手,9994.64万,-92.85%,8.27亿,39.69,0.51,1.23亿,26.92,12.42%,25.39,"
                        24.23",1.98万手,5.91%,--,33.08亿,3.24,8.31,3068.00万
实丰文化(002862),sz002862,26.62,+0.39,+1.49%,26.55,1.30万手,27.30,28.85,5907手,3482.24万,56.80%,5.32亿,49.07,0.54,8000.00万,26.23,6.51%,26.30,"
                        23.61",7118手,3.81%,--,21.30亿,3.93,6.77,2000.00万
今飞凯达(002863),sz002863,17.14,+1.07,+6.66%,16.28,17.64万手,17.56,17.68,7.91万手,2.98亿,-0.47%,9.51亿,62.36,0.27,2.21亿,16.07,31.79%,16.26,"
                        14.46",9.73万手,8.09%,--,37.97亿,4.18,4.10,5550.00万
盘龙药业(002864),sz002864,52.58,--,0.00%,--,--,--,57.84,--,--,--,11.39亿,103.28,0.51,8667.00万,52.58,--,--,"
                        47.32",--,--,--,45.57亿,9.47,5.55,2167.00万
